,rank,song_title,song_spotify_id,artists,date_gathered,popularity,album_name,album_release_date,album_spotify_id
0,1,Babaero,0NJAqnvbF6vzripOB7PclP,"gins&melodies, Hev Abi",2024-03-26,83,Babaero,2024-01-09,1rWV1baWSlnYYrYxU719QO
1,2,we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,2024-03-26,93,eternal sunshine,2024-03-08,5EYKrEDnKhhcNxGedaRQeK
2,3,Walang Alam,4wZTvLi0khNRqqz4i5XhdV,Hev Abi,2024-03-26,82,Kung Alam Mo Lang,2023-10-20,36OmXvGRKAY2zICbVtItoa
3,4,End of Beginning,3qhlB30KknSejmIvZZLjOD,Djo,2024-03-26,97,DECIDE,2022-09-16,4JDXBZdRPId4devseaAOKH
4,5,Alam Mo Ba Girl,57Z7lSnhwx82laEb6rdZPB,Hev Abi,2024-03-26,82,Kung Alam Mo Lang,2023-10-20,36OmXvGRKAY2zICbVtItoa
5,6,Makasarili Malambing (feat. Hev Abi),24lbO7qor0IB4u9uu8pDw8,"Kristina Dawn, Hev Abi",2024-03-26,73,Makasarili Malambing (feat. Hev Abi),2023-11-17,5nRawGHyy4wk6BEudZx0h4
6,7,TAKE ALL THE LOVE,2v6jmF6VQWS96x6tSg05IC,Arthur Nery,2024-03-26,80,TAKE ALL THE LOVE,2021-04-23,4EJLfrjbTDyhhMU1AcYDPb
7,8,Marikit Sa Dilim,2n0OFvWzkojBD1kVIOeGqe,"Juan Caoile, Kyleswish, Jawz",2024-03-26,82,Marikit Sa Dilim,2024-02-09,5lvADzxNwgth5Y5EZdHx7l
8,9,Sumugal,35Vt1L1KBP2YoWfErB0FAy,"Hev Abi, Unotheone, LK",2024-03-26,74,Kung Alam Mo Lang,2023-10-20,36OmXvGRKAY2zICbVtItoa
9,10,intro (end of the world),2o1pb13quMReXZqE7jWsgq,Ariana Grande,2024-03-26,87,eternal sunshine,2024-03-08,5EYKrEDnKhhcNxGedaRQeK
10,11,Lil Kasalanan Shortie,6zdryckXPbIeQE5npNqvNp,Hev Abi,2024-03-26,80,Lil Kasalanan Shortie,2022-11-30,03XSg6TO123KLtT7YusRjO
11,12,Faded (Raw),5AxEGHRwgBqFDZ20ilkCw6,Illest Morena,2024-03-26,79,Faded (Raw),2023-12-01,1YoTE6M7v7oQcdv5gHM0kb
12,13,Get Low,2kbNBhtgGiTxBuZTCXiQVY,"O SIDE MAFIA, BRGR",2024-03-26,80,Get Low,2023-12-22,7e209iBgYDKOavREMtFVAn
13,14,Tingin,7b89Ffklm3xh4GI37vlZDZ,"Cup of Joe, Janine",2024-03-26,79,Tingin,2023-04-28,5Z3PE5HciL6majXbtu3EU3
14,15,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,2024-03-26,97,Lover,2019-08-23,1NAmidJlEaVgA3MpcPFYGq
15,16,Heaven Knows - This Angel Has Flown,0Qra8Ps4tJAZPqRXyehCjc,Orange & Lemons,2024-03-26,78,Strike Whilst the Iron Is Hot,2005-03-24,1Pjond44g3GY0emy3LfcCl
16,17,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,Mitski,2024-03-26,95,The Land Is Inhospitable and So Are We,2023-09-15,2Cn1d2KgbkAqbZCJ1RzdkA
17,18,Pakundangan (feat. Hev Abi),2ESL2ZcFU32llFIyXLFy5P,"DEMI, Hev Abi",2024-03-26,77,Pakundangan (feat. Hev Abi),2023-11-24,2usPnYPIwKOjeNl15BSXsW
18,19,711,2ONW0ksoUixoxT7gfI9hWX,TONEEJAY,2024-03-26,78,711,2023-09-08,3rr7vncuxv64AzY98YwPIL
19,20,Tadhana,6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,2024-03-26,76,Capacities,2012-12-07,1QpFitywD6FWjFWvTmLOw9
20,21,homebdy (feat. Madman Stan),01iNOMVE89uKaurFTDZX2Y,"DEMI, slimedemidemislime, Madman Stan",2024-03-26,78,homebdy (feat. Madman Stan),2023-07-14,1eNpFnIEHvsFYcIaSnf3bJ
21,22,Sa Susunod na Habang Buhay,3PgjBOoA5OytNGkglObpOd,Ben&Ben,2024-03-26,77,Sa Susunod na Habang Buhay,2020-02-28,0U3q2NgWn97Fsns6dg7CzD
22,23,Para Sa Streets,0szRYVD2MwFzQMs58PT1Ec,Hev Abi,2024-03-26,77,Para Sa Streets,2023-01-13,62G53UzsyGd1updwIfyXLq
23,24,Pantropiko,6Csrqur3IfnVp0EtHskjMw,BINI,2024-03-26,74,Pantropiko,2023-11-17,3NYOeU6Uwj2FP1Zz1rWVz8
24,25,YK,3kdDccXEVz0snh6mcL4eFj,Cean Jr.,2024-03-26,77,YK,2021-01-25,0vJ2H4ZG19Enzadvy7xHIS
25,26,RomCom,67DEADzgSxkFWI3jVlQUL3,Rob Deniel,2024-03-26,77,RomCom,2023-08-25,0LZ5mVQNqWZg5a6UmRxVIX
26,27,Saturn,1bjeWoagtHmUKputLVyDxQ,SZA,2024-03-26,92,Saturn,2024-02-22,1fmBMCSSkSlvxyoy1vut2k
27,28,"One Of The Girls (with JENNIE, Lily Rose Depp)",1VNWdmXSbaNrnWod10WIL0,"The Weeknd, JENNIE, Lily-Rose Depp",2024-03-26,86,The Highlights (Deluxe),2024-02-09,18sR8zHx4zsVJUI4bHWuPC
28,29,Miss Miss,5mi8Oe95frx6LhvFioXE7t,Rob Deniel,2024-03-26,77,Miss Miss,2023-12-08,7vX4hut0GPXmfbqbSvz49o
29,30,Made For Me,0WIv5qV41y6YjjB9V1biuC,Muni Long,2024-03-26,87,Made For Me,2023-09-15,2VIJu8iWncUpGcv64UOxnv
30,31,Kisame,4XSIv5hJzP6kEQqsLli1eE,rhodessa,2024-03-26,76,Kisame,2023-02-10,0a0UdCKsKEGjFGBi9mGAMe
31,32,Isa lang,0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,2024-03-26,75,Isa lang,2021-12-17,09S77IK5S0vxVF0DfwSohF
32,33,You'll Be Safe Here,0IuKNTVgn9vapnGU44natX,Rico Blanco,2024-03-26,72,You'll Be Safe Here,2023-10-13,5JqdmuqnCCp3ENI3IgdqDG
33,34,Palagi,0sqnYgWOw9DMc6jRgkcB2m,TJ Monterde,2024-03-26,75,Palagi,2023-07-06,4IO4IBKrCHtJVckqsdH6XH
34,35,Huwag Na Huwag Mong Sasabihin,4mOjjXKDOR1sel6APULUaN,Kitchie Nadal,2024-03-26,72,Kitchie Nadal,2004-01-01,7beVKW0o7iRoM0eRT3kGfk
35,36,Ikaw Lang,16iRlyUMJVPqz62DlomMre,NOBITA,2024-03-26,75,Ikaw Lang,2020-06-12,1nft8RTZE2QYeDPPNEnCBx
36,37,PAREHAS TAYO,6KDLUcxVRvXIXMexgf9x9b,Nateman,2024-03-26,76,PAREHAS TAYO,2023-10-13,3as5iLN6ugZO7Kz4xVaHdk
37,38,Lagabog,0pZ1RKuQnKK3TetoSHyx7i,"Skusta Clee, Illest Morena",2024-03-26,75,Lagabog,2023-12-16,2eTeeKM6MBnbU67LAlPRqC
38,39,We Made It,00h9iBIZPHjHAVoNzKHIOz,"Nik Makino, Flow G",2024-03-26,77,We Made It,2024-01-01,2vd0mHXPGNEfvYK9PY5U2H
39,40,Hanggang Kailan - Umuwi Ka Na Baby,69u8qQcaA3o0A7Ko87juqp,Orange & Lemons,2024-03-26,74,Strike Whilst the Iron Is Hot,2005-03-24,1Pjond44g3GY0emy3LfcCl
40,41,Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,2024-03-26,91,Lover,2019-08-23,1NAmidJlEaVgA3MpcPFYGq
41,42,greedy,3rUGC1vUpkDG9CZFHMur1t,Tate McRae,2024-03-26,97,greedy,2023-09-15,3UOV8XvCwMKaATRNXrYCjN
42,43,ERE,2BLdelIp46CHvKkyWeqZHL,juan karlos,2024-03-26,68,Sad Songs and Bullshit Part 1,2023-09-22,7H0mDAUmK6BUuGZCy10kcv
43,44,14,7KD8oUUpidul2ROxTIhPAw,Silent Sanctuary,2024-03-26,65,Fuchsiang Pag-Ibig,2007-01-01,6MC4GloSqK2sSTLeYImDV3
44,45,Gusto,0uemlnPoeZOYIDaMFZ7lvi,"Zack Tabudlo, Al James",2024-03-26,68,3rd Timeâ€™s A Charm,2023-11-17,5bWsdwr9OileEY1gHx1Do3
45,46,Mahika,2nqlM3gNBMi5Zf9MDzp2Xi,"Adie, Janine Berdin",2024-03-26,70,Senaryo,2023-12-15,5UNDk7qptf3EtMNoIh3w0k
46,47,Raining In Manila,0mtkRIAOueeXqHpyahIbtJ,Lola Amour,2024-03-26,76,Raining In Manila,2023-06-14,3F0QPdZE5LgQuJgSpiWsvy
47,48,Kung Wala Ka,4he4CYDhvSPTxQc0e0Le1L,Hale,2024-03-26,71,Hale,2005,3rYydzqOp83YUYh4EXjrbk
48,49,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",2024-03-26,85,Freudian,2017-08-25,3xybjP7r2VsWzwvDQipdM0
49,50,"yes, and?",5D34wRmbFS29AjtTOP2QJe,Ariana Grande,2024-03-26,86,eternal sunshine,2024-03-08,5EYKrEDnKhhcNxGedaRQeK
